Item,Description,Quantity,Minimum quantity,Ext. Price,Running total with tax,Supplier part,URL
CL21A475KAQNNNE,4.7 uF capacitor,1,20,0.25,0.2825,C1779,LCSC: C1779
CL21A106KAYNNNE,10 uF capacitor,1,20,0.22,0.5311,C15850,LCSC: C15850
CC0805KRX7R9BB104,100 nF capacitor,2,100,0.44,1.0283,C49678,LCSC: C49678
BC817,NPN transitor,2,20,0.4,1.4803,C466643,LCSC: C466643
2N7002K-T1-GE3,N channel MOSFET,1,10,0.36,1.8871,C81445,LCSC: C81445
0805W8F1002T5E,10kÎ© resistor,3,100,0.18,2.0905,C17414,LCSC: C17414
GSPK2308P-8R0.5W,0.5W speaker,1,1,0.79,2.9832,C530532,LCSC: C530532
AMS1117-3.3,3.3v regulator,1,5,0.57,3.6273,C41414107,LCSC: C41414107
CH340C,Usb-Uart,1,1,0.54,4.2375,C84681,LCSC: C84681
ESP32-WROOM-32E-H4,Esp32,1,1,3.95,8.701,C3013935,LCSC: C3013935
MicroXNJ,Micro-usb,1,10,0.38,9.1304,C404969,LCSC: C404969